path edges,path latency,path latency relative,received data,cum received data,path throughput,hop count,path efficiency,path user ratio,switch count,mission data transfer,mission data transfer time
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.019837410333221887,0.8974712196509103,10073672435.410019,10073672435.410019,2014734487.0820038,1,0.8974712196509103,1.0,0,21,245.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.019837397155000158,0.8974718440358568,10073672448.856682,20147344884.266705,2014734489.7713363,1,0.8974718440358569,1.0,,,250.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.019837432252229024,0.8974703332462061,10073672413.829294,30221017298.095997,2014734482.765859,1,0.8974703332462061,1.0,,,245.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.01983738214807155,0.8974727392175779,10073672465.120316,40294689763.21632,2014734493.024063,1,0.8974727392175778,1.0,,,250.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.01983742911373476,0.8974707973719322,10073672418.66817,50368362181.88448,2014734483.7336342,1,0.8974707973719322,1.0,,,250.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.01983743967253442,0.8974705596937549,10073672409.261978,60442034591.14646,2014734481.8523955,1,0.8974705596937548,1.0,,,245.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.01983745257390758,0.8974702691104927,10073672397.773155,70515706988.91962,2014734479.554631,1,0.8974702691104925,1.0,,,250.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.019837467816184465,0.8974699255962533,10073672384.20473,80589379373.12434,2014734476.8409457,1,0.8974699255962533,1.0,,,250.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.0198374853975681,0.8974695291279883,10073672368.559845,90663051741.68419,2014734473.711969,1,0.8974695291279884,1.0,,,245.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.019837505316134187,0.8974690796854969,10073672350.84176,100736724092.52597,2014734470.1683521,1,0.8974690796854969,1.0,,,250.0
"[('V_0_2', 'V_0_1'), ('V_0_1', 'V_0_0')]",0.019837527569831065,0.8974685772514293,10073672331.053843,110810396423.5798,2014734466.2107685,1,0.8974685772514295,1.0,,,245.0
